รหัสพนักงาน,ชื่อ - นามสกุล,ตำแหน่ง,หน่วยงาน,เบอร์โทรศัพท์,อีเมล์,checkin
0001,บัณฑิต แสนคำภา,Programmer,Production,0954027399,sankhumpha84@gmail.com,1
0002,บัณฑิต แสนคำภา,Programmer,Production,0954027400,sankhumpha84@gmail.com,1
0003,บัณฑิต แสนคำภา,Programmer,Production,0954027401,sankhumpha84@gmail.com,1
0004,บัณฑิต แสนคำภา,Programmer,Production,0954027402,sankhumpha84@gmail.com,1
0005,บัณฑิต แสนคำภา,Programmer,Production,0954027403,sankhumpha84@gmail.com,1
0006,บัณฑิต แสนคำภา,Programmer,Production,0954027404,sankhumpha84@gmail.com,1
0007,บัณฑิต แสนคำภา,Programmer,Production,0954027405,sankhumpha84@gmail.com,1
0008,บัณฑิต แสนคำภา,Programmer,Production,0954027406,sankhumpha84@gmail.com,1
0009,บัณฑิต แสนคำภา,Programmer,Production,0954027407,sankhumpha84@gmail.com,1
0010,บัณฑิต แสนคำภา,Programmer,Production,0954027408,sankhumpha84@gmail.com,1
0011,บัณฑิต แสนคำภา,Programmer,Production,0954027409,sankhumpha84@gmail.com,1
0012,บัณฑิต แสนคำภา,Programmer,Production,0954027410,sankhumpha84@gmail.com,1
0013,บัณฑิต แสนคำภา,Programmer,Production,0954027411,sankhumpha84@gmail.com,1
0014,บัณฑิต แสนคำภา,Programmer,Production,0954027412,sankhumpha84@gmail.com,1
0015,บัณฑิต แสนคำภา,Programmer,Production,0954027413,sankhumpha84@gmail.com,1
0016,บัณฑิต แสนคำภา,Programmer,Production,0954027414,sankhumpha84@gmail.com,1
0017,บัณฑิต แสนคำภา,Programmer,Production,0954027415,sankhumpha84@gmail.com,1
0018,บัณฑิต แสนคำภา,Programmer,Production,0954027416,sankhumpha84@gmail.com,1
0019,บัณฑิต แสนคำภา,Programmer,Production,0954027417,sankhumpha84@gmail.com,1
0020,บัณฑิต แสนคำภา,Programmer,Production,0954027418,sankhumpha84@gmail.com,1
0021,บัณฑิต แสนคำภา,Programmer,Production,0954027419,sankhumpha84@gmail.com,1
0022,บัณฑิต แสนคำภา,Programmer,Production,0954027420,sankhumpha84@gmail.com,1
0023,บัณฑิต แสนคำภา,Programmer,Production,0954027421,sankhumpha84@gmail.com,1
0024,บัณฑิต แสนคำภา,Programmer,Production,0954027422,sankhumpha84@gmail.com,1
0025,บัณฑิต แสนคำภา,Programmer,Production,0954027423,sankhumpha84@gmail.com,1
0026,บัณฑิต แสนคำภา,Programmer,Production,0954027424,sankhumpha84@gmail.com,1
0027,บัณฑิต แสนคำภา,Programmer,Production,0954027425,sankhumpha84@gmail.com,1
0028,บัณฑิต แสนคำภา,Programmer,Production,0954027426,sankhumpha84@gmail.com,1
0029,บัณฑิต แสนคำภา,Programmer,Production,0954027427,sankhumpha84@gmail.com,1
0030,บัณฑิต แสนคำภา,Programmer,Production,0954027428,sankhumpha84@gmail.com,0
